Date,Room,Age Group,Time,Num_Children,Ratio,Staff_Needed
2024-01-02,Grampy Tom Multi-Age,Multi-Age,07:30:00,1,4,2
2024-01-02,Grampy Tom Multi-Age,Multi-Age,08:00:00,1,4,2
2024-01-02,Grampy Tom Multi-Age,Multi-Age,08:30:00,1,4,2
2024-01-02,Grampy Tom Multi-Age,Multi-Age,09:00:00,1,4,2
2024-01-02,Grampy Tom Multi-Age,Multi-Age,09:30:00,1,4,2
2024-01-02,Grampy Tom Multi-Age,Multi-Age,10:00:00,1,4,2
2024-01-02,Grampy Tom Multi-Age,Multi-Age,10:30:00,1,4,2
2024-01-02,Grampy Tom Multi-Age,Multi-Age,11:00:00,1,4,2
2024-01-02,Grampy Tom Multi-Age,Multi-Age,11:30:00,1,4,2
2024-01-02,Grampy Tom Multi-Age,Multi-Age,12:00:00,1,4,2
2024-01-02,Grampy Tom Multi-Age,Multi-Age,12:30:00,1,4,2
2024-01-02,Grampy Tom Multi-Age,Multi-Age,13:00:00,1,4,2
2024-01-02,Grampy Tom Multi-Age,Multi-Age,13:30:00,1,4,2
2024-01-02,Grampy Tom Multi-Age,Multi-Age,14:00:00,1,4,2
2024-01-02,Grampy Tom Multi-Age,Multi-Age,14:30:00,1,4,2
2024-01-02,Grampy Tom Multi-Age,Multi-Age,15:00:00,1,4,2
2024-01-02,Grampy Tom Multi-Age,Multi-Age,15:30:00,1,4,2
2024-01-02,Grampy Tom Multi-Age,Multi-Age,16:00:00,1,4,2
2024-01-02,Grampy Tom Multi-Age,Multi-Age,16:30:00,1,4,2
2024-01-02,Grampy Tom Multi-Age,Multi-Age,17:00:00,1,4,2
2024-01-02,Grampy Tom Preschool,Preschool,07:30:00,2,10,2
2024-01-02,Grampy Tom Preschool,Preschool,08:00:00,6,10,2
2024-01-02,Grampy Tom Preschool,Preschool,08:30:00,7,10,2
2024-01-02,Grampy Tom Preschool,Preschool,09:00:00,8,10,2
2024-01-02,Grampy Tom Preschool,Preschool,09:30:00,8,10,2
2024-01-02,Grampy Tom Preschool,Preschool,10:00:00,8,10,2
2024-01-02,Grampy Tom Preschool,Preschool,10:30:00,8,10,2
2024-01-02,Grampy Tom Preschool,Preschool,11:00:00,8,10,2
2024-01-02,Grampy Tom Preschool,Preschool,11:30:00,8,10,2
2024-01-02,Grampy Tom Preschool,Preschool,12:00:00,8,10,2
2024-01-02,Grampy Tom Preschool,Preschool,12:30:00,8,10,2
2024-01-02,Grampy Tom Preschool,Preschool,13:00:00,8,10,2
2024-01-02,Grampy Tom Preschool,Preschool,13:30:00,8,10,2
2024-01-02,Grampy Tom Preschool,Preschool,14:00:00,8,10,2
2024-01-02,Grampy Tom Preschool,Preschool,14:30:00,8,10,2
2024-01-02,Grampy Tom Preschool,Preschool,15:00:00,8,10,2
2024-01-02,Grampy Tom Preschool,Preschool,15:30:00,8,10,2
2024-01-02,Grampy Tom Preschool,Preschool,16:00:00,8,10,2
2024-01-02,Grampy Tom Preschool,Preschool,16:30:00,7,10,2
2024-01-02,Grampy Tom Preschool,Preschool,17:00:00,6,10,2
2024-01-02,Grampy Tom Preschool,Preschool,17:30:00,2,10,2
2024-01-02,Grampy Tom Toddlers,Toddler,07:30:00,1,6,2
2024-01-02,Grampy Tom Toddlers,Toddler,08:00:00,2,6,2
2024-01-02,Grampy Tom Toddlers,Toddler,08:30:00,5,6,2
2024-01-02,Grampy Tom Toddlers,Toddler,09:00:00,6,6,2
2024-01-02,Grampy Tom Toddlers,Toddler,09:30:00,6,6,2
2024-01-02,Grampy Tom Toddlers,Toddler,10:00:00,6,6,2
2024-01-02,Grampy Tom Toddlers,Toddler,10:30:00,6,6,2
2024-01-02,Grampy Tom Toddlers,Toddler,11:00:00,6,6,2
2024-01-02,Grampy Tom Toddlers,Toddler,11:30:00,6,6,2
2024-01-02,Grampy Tom Toddlers,Toddler,12:00:00,6,6,2
2024-01-02,Grampy Tom Toddlers,Toddler,12:30:00,6,6,2
2024-01-02,Grampy Tom Toddlers,Toddler,13:00:00,6,6,2
2024-01-02,Grampy Tom Toddlers,Toddler,13:30:00,6,6,2
2024-01-02,Grampy Tom Toddlers,Toddler,14:00:00,6,6,2
2024-01-02,Grampy Tom Toddlers,Toddler,14:30:00,6,6,2
2024-01-02,Grampy Tom Toddlers,Toddler,15:00:00,6,6,2
2024-01-02,Grampy Tom Toddlers,Toddler,15:30:00,6,6,2
2024-01-02,Grampy Tom Toddlers,Toddler,16:00:00,6,6,2
2024-01-02,Grampy Tom Toddlers,Toddler,16:30:00,5,6,2
2024-01-02,Grampy Tom Toddlers,Toddler,17:00:00,4,6,2
2024-01-02,Grampy Tom Toddlers,Toddler,17:30:00,1,6,2
2024-01-02,Henry Infants,Infant,08:00:00,1,4,2
2024-01-02,Henry Infants,Infant,08:30:00,1,4,2
2024-01-02,Henry Infants,Infant,09:00:00,1,4,2
2024-01-02,Henry Infants,Infant,09:30:00,1,4,2
2024-01-02,Henry Infants,Infant,10:00:00,1,4,2
2024-01-02,Henry Infants,Infant,10:30:00,1,4,2
2024-01-02,Henry Infants,Infant,11:00:00,1,4,2
2024-01-02,Henry Infants,Infant,11:30:00,1,4,2
2024-01-02,Henry Infants,Infant,12:00:00,1,4,2
2024-01-02,Henry Infants,Infant,12:30:00,1,4,2
2024-01-02,Henry Infants,Infant,13:00:00,1,4,2
2024-01-02,Henry Infants,Infant,13:30:00,1,4,2
2024-01-02,Henry Infants,Infant,14:00:00,1,4,2
2024-01-02,Henry Infants,Infant,14:30:00,1,4,2
2024-01-02,Henry Infants,Infant,15:00:00,1,4,2
2024-01-02,Henry Infants,Infant,15:30:00,1,4,2
2024-01-02,Henry Infants,Infant,16:00:00,1,4,2
2024-01-02,Henry Infants,Infant,16:30:00,1,4,2
2024-01-02,Henry Toddlers,Toddler,07:00:00,1,6,2
2024-01-02,Henry Toddlers,Toddler,07:30:00,1,6,2
2024-01-02,Henry Toddlers,Toddler,08:00:00,2,6,2
2024-01-02,Henry Toddlers,Toddler,08:30:00,3,6,2
2024-01-02,Henry Toddlers,Toddler,09:00:00,3,6,2
2024-01-02,Henry Toddlers,Toddler,09:30:00,3,6,2
2024-01-02,Henry Toddlers,Toddler,10:00:00,3,6,2
2024-01-02,Henry Toddlers,Toddler,10:30:00,3,6,2
2024-01-02,Henry Toddlers,Toddler,11:00:00,3,6,2
2024-01-02,Henry Toddlers,Toddler,11:30:00,3,6,2
2024-01-02,Henry Toddlers,Toddler,12:00:00,3,6,2
2024-01-02,Henry Toddlers,Toddler,12:30:00,3,6,2
2024-01-02,Henry Toddlers,Toddler,13:00:00,3,6,2
2024-01-02,Henry Toddlers,Toddler,13:30:00,3,6,2
2024-01-02,Henry Toddlers,Toddler,14:00:00,3,6,2
2024-01-02,Henry Toddlers,Toddler,14:30:00,3,6,2
2024-01-02,Henry Toddlers,Toddler,15:00:00,2,6,2
2024-01-02,Henry Toddlers,Toddler,15:30:00,2,6,2
2024-01-02,Henry Toddlers,Toddler,16:00:00,1,6,2
2024-01-02,Pennie Preschool 1,Preschool,07:00:00,1,10,2
2024-01-02,Pennie Preschool 1,Preschool,07:30:00,4,10,2
2024-01-02,Pennie Preschool 1,Preschool,08:00:00,6,10,2
2024-01-02,Pennie Preschool 1,Preschool,08:30:00,7,10,2
2024-01-02,Pennie Preschool 1,Preschool,09:00:00,7,10,2
2024-01-02,Pennie Preschool 1,Preschool,09:30:00,7,10,2
2024-01-02,Pennie Preschool 1,Preschool,10:00:00,7,10,2
