Date,Room,Age Group,Time,Num_Children,Ratio,Staff_Needed
2023-01-03,Dinosaur Stomp,Pre-K,07:00:00,1,12,2
2023-01-03,Dinosaur Stomp,Pre-K,07:30:00,3,12,2
2023-01-03,Dinosaur Stomp,Pre-K,08:00:00,6,12,2
2023-01-03,Dinosaur Stomp,Pre-K,08:30:00,9,12,2
2023-01-03,Dinosaur Stomp,Pre-K,09:00:00,11,12,2
2023-01-03,Dinosaur Stomp,Pre-K,09:30:00,11,12,2
2023-01-03,Dinosaur Stomp,Pre-K,10:00:00,12,12,2
2023-01-03,Dinosaur Stomp,Pre-K,10:30:00,13,12,2
2023-01-03,Dinosaur Stomp,Pre-K,11:00:00,13,12,2
2023-01-03,Dinosaur Stomp,Pre-K,11:30:00,13,12,2
2023-01-03,Dinosaur Stomp,Pre-K,12:00:00,13,12,2
2023-01-03,Dinosaur Stomp,Pre-K,12:30:00,13,12,2
2023-01-03,Dinosaur Stomp,Pre-K,13:00:00,13,12,2
2023-01-03,Dinosaur Stomp,Pre-K,13:30:00,13,12,2
2023-01-03,Dinosaur Stomp,Pre-K,14:00:00,13,12,2
2023-01-03,Dinosaur Stomp,Pre-K,14:30:00,13,12,2
2023-01-03,Dinosaur Stomp,Pre-K,15:00:00,13,12,2
2023-01-03,Dinosaur Stomp,Pre-K,15:30:00,12,12,2
2023-01-03,Dinosaur Stomp,Pre-K,16:00:00,12,12,2
2023-01-03,Dinosaur Stomp,Pre-K,16:30:00,12,12,2
2023-01-03,Dinosaur Stomp,Pre-K,17:00:00,9,12,2
2023-01-03,Dinosaur Stomp,Pre-K,17:30:00,2,12,2
2023-01-03,Pandas,Toddler,07:30:00,2,6,2
2023-01-03,Pandas,Toddler,08:00:00,3,6,2
2023-01-03,Pandas,Toddler,08:30:00,3,6,2
2023-01-03,Pandas,Toddler,09:00:00,3,6,2
2023-01-03,Pandas,Toddler,09:30:00,3,6,2
2023-01-03,Pandas,Toddler,10:00:00,3,6,2
2023-01-03,Pandas,Toddler,10:30:00,3,6,2
2023-01-03,Pandas,Toddler,11:00:00,3,6,2
2023-01-03,Pandas,Toddler,11:30:00,3,6,2
2023-01-03,Pandas,Toddler,12:00:00,3,6,2
2023-01-03,Pandas,Toddler,12:30:00,3,6,2
2023-01-03,Pandas,Toddler,13:00:00,3,6,2
2023-01-03,Pandas,Toddler,13:30:00,3,6,2
2023-01-03,Pandas,Toddler,14:00:00,3,6,2
2023-01-03,Pandas,Toddler,14:30:00,3,6,2
2023-01-03,Pandas,Toddler,15:00:00,3,6,2
2023-01-03,Pandas,Toddler,15:30:00,3,6,2
2023-01-03,Pandas,Toddler,16:00:00,3,6,2
2023-01-03,Pandas,Toddler,16:30:00,3,6,2
2023-01-03,Pandas,Toddler,17:00:00,3,6,2
2023-01-03,Wild Things,Preschool,07:00:00,2,10,2
2023-01-03,Wild Things,Preschool,07:30:00,5,10,2
2023-01-03,Wild Things,Preschool,08:00:00,5,10,2
2023-01-03,Wild Things,Preschool,08:30:00,9,10,2
2023-01-03,Wild Things,Preschool,09:00:00,9,10,2
2023-01-03,Wild Things,Preschool,09:30:00,9,10,2
2023-01-03,Wild Things,Preschool,10:00:00,9,10,2
2023-01-03,Wild Things,Preschool,10:30:00,9,10,2
2023-01-03,Wild Things,Preschool,11:00:00,9,10,2
2023-01-03,Wild Things,Preschool,11:30:00,9,10,2
2023-01-03,Wild Things,Preschool,12:00:00,9,10,2
2023-01-03,Wild Things,Preschool,12:30:00,9,10,2
2023-01-03,Wild Things,Preschool,13:00:00,9,10,2
2023-01-03,Wild Things,Preschool,13:30:00,9,10,2
